id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,iata_code
26920,YBNA,medium_airport,Ballina Byron Gateway Airport,-28.833236,153.561471,7.0,OC,AU,AU-NSW,Ballina,yes,BNK
26921,YBNS,medium_airport,Bairnsdale Airport,-37.887539,147.569379,165.0,OC,AU,AU-VIC,Bairnsdale,no,BSJ
29715,YBOI,small_airport,Boigu Island Airport,-9.23278,142.218002,23.0,OC,AU,AU-QLD,Boigu Island,yes,GIC
26922,YBOK,medium_airport,Oakey Army Aviation Centre,-27.409262,151.736727,1335.0,OC,AU,AU-QLD,Unknown,yes,OKY
26923,YBOU,medium_airport,Boulia Airport,-22.913299560546875,139.89999389648438,542.0,OC,AU,AU-QLD,Unknown,yes,BQL
27409,YBPI,small_airport,Brampton Island Airport,-20.804633,149.279931,11.0,OC,AU,AU-QLD,Unknown,no,BMP
506646,YBPK,heliport,"Melbourne Heliport, Batman Park",-37.822272,144.956789,10.0,OC,AU,AU-VIC,Melbourne,no,KAH
26924,YBPN,medium_airport,Proserpine Whitsunday Coast Airport,-20.494416,148.553583,82.0,OC,AU,AU-QLD,Proserpine,yes,PPP
316461,YBQ,seaplane_base,Telegraph Harbour Seaplane Base,48.97,-123.664,1351.7610296137575,NA,CA,CA-BC,Thetis Island,yes,YBQ
26925,YBRK,medium_airport,Rockhampton Airport,-23.380019,150.475359,34.0,OC,AU,AU-QLD,Rockhampton,yes,ROK
26926,YBRL,small_airport,Borroloola Airport,-16.0753,136.302002,55.0,OC,AU,AU-NT,Unknown,no,BOX
26927,YBRM,large_airport,Broome International Airport,-17.949194,122.2283,56.0,OC,AU,AU-WA,Broome,yes,BME
26928,YBRN,medium_airport,Balranald Airport,-34.624834,143.577114,210.0,OC,AU,AU-NSW,Unknown,no,BZD
27414,YBRU,small_airport,Brunette Downs Airport,-18.637472,135.938355,700.0,OC,AU,AU-NT,Unknown,no,BTD
26929,YBRW,medium_airport,Brewarrina Airport,-29.975792,146.81438,414.0,OC,AU,AU-NSW,Unknown,no,BWQ
26930,YBRY,small_airport,Barimunya Airport,-22.673889,119.166111,2082.0,OC,AU,AU-WA,Unknown,no,BYP
26918,YBSU,large_airport,Sunshine Coast Airport,-26.593324,153.08319,15.0,OC,AU,AU-QLD,Maroochydore,yes,MCY
26932,YBTH,medium_airport,Bathurst Airport,-33.406817,149.651161,2435.0,OC,AU,AU-NSW,Bathurst,yes,BHS
26933,YBTI,medium_airport,Bathurst Island Airport,-11.764966,130.615774,67.0,OC,AU,AU-NT,Wurrumiyanga,no,BRT
